ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,ID_4,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,N_Sample
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,23,Narshingdi,156,Belabo, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,23,Narshingdi,157,Manohardi, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,23,Narshingdi,158,Narsingdi S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,23,Narshingdi,159,Palash, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,29,Shariatpur,184,Damudya, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,23,Narshingdi,160,Raipur,Narsingdi,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,23,Narshingdi,161,Shibpur, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,9,Dhaka,24,Rajbari,162,Goalandaghat, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,163,Alfadanga, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,29,Shariatpur,185,Gosairhat, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,164,Bhanga, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,165,Boalmari, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,166,Char Bhadrasan, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,167,Faridpur S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,168,Madhukhali, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,169,Nagarkanda, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,25,Faridpur,170,Sadarpur, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,26,Gopalgonj,171,Gopalganj S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,26,Gopalgonj,172,Kashiani, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,26,Gopalgonj,173,Kotalipara, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,26,Gopalgonj,174,Muksudpur, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,26,Gopalgonj,175,Tungipara, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,27,Madaripur,176,Kalkini, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,27,Madaripur,177,Madaripur S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,29,Shariatpur,186,Shariatpur S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,27,Madaripur,178,Rajoir, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,27,Madaripur,179,Shibchar, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,28,Rajbari,180,Baliakandi, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,28,Rajbari,181,Pangsha, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,28,Rajbari,182,Rajbari S., ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,29,Shariatpur,183,Bhedarganj, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,10,Faridpur,29,Shariatpur,187,Zanjira, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,11,Jamalpur,30,Jamalpur,188,Baksiganj, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,11,Jamalpur,30,Jamalpur,189,Dewanganj, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,11,Jamalpur,30,Jamalpur,190,Islampur, ,Upazila|Thana|Po,Sub-district,
19,BGD,Bangladesh,3,Dhaka,11,Jamalpur,30,Jamalpur,191,Jamalpur S., ,Upazila|Thana|Po,Sub-district,
